[2026-02-25 09:40:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-24
正在获取论文...
[arXiv] 2026-02-24 | Constraining the onset height of coronal mass ejection driven shocks using near-Sun observations in visible and radio wavelengths
[arXiv] 2026-02-24 | Photonic timing-engineered solitons for dual-microcomb metrology
[arXiv] 2026-02-24 | Stability and Generalization of Push-Sum Based Decentralized Optimization over Directed Graphs
[arXiv] 2026-02-24 | WildGHand: Learning Anti-Perturbation Gaussian Hand Avatars from Monocular In-the-Wild Videos
[arXiv] 2026-02-24 | Stochastic Control Problems with Infinite Horizon and Regime Switching Arising in Optimal Liquidation with Semimartingale Strategies
[arXiv] 2026-02-24 | Beyond Human Performance: A Vision-Language Multi-Agent Approach for Quality Control in Pharmaceutical Manufacturing
[arXiv] 2026-02-24 | PFGNet: A Fully Convolutional Frequency-Guided Peripheral Gating Network for Efficient Spatiotemporal Predictive Learning
[arXiv] 2026-02-24 | Aging of coupled qubits
[arXiv] 2026-02-24 | Actor-Curator: Co-adaptive Curriculum Learning via Policy-Improvement Bandits for RL Post-Training
[arXiv] 2026-02-24 | A Generalized Apprenticeship Learning Framework for Capturing Evolving Student Pedagogical Strategies
[arXiv] 2026-02-24 | AT 2024wpp: the most luminous fast-evolving optical transient linked to the merger explosion of a black-hole binary
[arXiv] 2026-02-24 | FAST-Prefill: FPGA Accelerated Sparse Attention for Long Context LLM Prefill
[arXiv] 2026-02-24 | From Performance to Purpose: A Sociotechnical Taxonomy for Evaluating Large Language Model Utility
[arXiv] 2026-02-24 | An Optomechanical Coin Flip: Wavelength-Modulated, Erbium-Powered Rotations in a Levitated System
[arXiv] 2026-02-24 | The singularity at degenerate points in steady axisymmetric compressible free surface flows with gravity
[arXiv] 2026-02-24 | ActionEngine: From Reactive to Programmatic GUI Agents via State Machine Memory
[arXiv] 2026-02-24 | Fast Algorithms for Exact Confidence Intervals in Randomized Experiments with Binary Outcomes
[arXiv] 2026-02-24 | Unveiling Scaling Laws of Parameter Identifiability and Uncertainty Quantification in Data-Driven Biological Modeling
[arXiv] 2026-02-24 | Wireless Federated Multi-Task LLM Fine-Tuning via Sparse-and-Orthogonal LoRA
[arXiv] 2026-02-24 | Dynamic Lattice Disorder and Collective Dipole Coupling Give Rise to Dicke Physics in Perovskite Quantum Dots
[arXiv] 2026-02-24 | Single conjugacy classes of isometries in orthogonal groups over local fields
[arXiv] 2026-02-24 | Elimination-compensation pruning for fully-connected neural networks
